Apache Hadoop: 198 committers, 101 PMC members
Project Apache OpenOffice: 141 committers, 28 PMC members
Project Apache CloudStack: 121 committers, 46 PMC members
Project Apache Ambari: 105 committers, 48 PMC members
Project Apache Geode: 100 committers, 51 PMC members
Project Apache Cordova: 97 committers, 94 PMC members
Project Apache Hive: 84 committers, 47 PMC members
Project Apache Subversion: 84 committers, 46 PMC members
Project Apache Cocoon: 80 committers, 32 PMC members
Project Apache HBase: 79 committers, 45 PMC members
Project Apache MyFaces: 78 committers, 44 PMC members
Project Apache Flex: 69 committers, 45 PMC members
Project Apache Geronimo: 69 committers, 39 PMC members
Project Apache Spark: 68 committers, 45 PMC members
Project Apache Felix: 67 committers, 26 PMC members
Project Apache Camel: 66 committers, 33 PMC members
Project Apache HAWQ: 66 committers, 45 PMC members
Project Apache CouchDB: 64 committers, 15 PMC members
Project Apache ActiveMQ: 60 committers, 24 PMC members
Project Apache Maven: 59 committers, 24 PMC members
Project Apache Struts: 59 committers, 22 PMC members
Project Apache Directory: 58 committers, 19 PMC members
Project Apache Aries: 56 committers, 41 PMC members
Project Apache Cassandra: 54 committers, 32 PMC members
Project Apache Jackrabbit: 52 committers, 52 PMC members
Project Apache Beam: 51 committers, 20 PMC members
Project Apache Drill: 51 committers, 24 PMC members
Project Apache Qpid: 50 committers, 38 PMC members
Project Apache ServiceMix: 50 committers, 21 PMC members
Project Apache Mesos: 48 committers, 48 PMC members
Project Apache OFBiz: 47 committers, 20 PMC members
Project Apache Ignite: 46 committers, 28 PMC members
Project Apache Impala: 46 committers, 29 PMC members
Project Apache OODT: 46 committers, 45 PMC members
Project Apache Tomcat: 46 committers, 28 PMC members
Project Apache Flink: 44 committers, 20 PMC members
Project Apache CXF: 43 committers, 27 PMC members
Project Apache Sling: 43 committers, 26 PMC members
Project Apache NiFi: 42 committers, 29 PMC members
Project Apache Apex: 41 committers, 17 PMC members
Project Apache Arrow: 41 committers, 26 PMC members
Project Apache Atlas: 41 committers, 31 PMC members
Project Apache Phoenix: 41 committers, 30 PMC members
Project Apache Portals: 41 committers, 18 PMC members
Project Apache Bahir: 40 committers, 11 PMC members
Project Apache Sentry: 40 committers, 38 PMC members
Project Apache Calcite: 39 committers, 20 PMC members
Project Apache Metron: 39 committers, 27 PMC members
Project Apache ORC: 39 committers, 10 PMC members
Project Apache Storm: 39 committers, 38 PMC members
Project Apache Airavata: 38 committers, 24 PMC members
Project Apache Chemistry: 38 committers, 36 PMC members
Project Apache cTAKES: 38 committers, 31 PMC members
Project Apache POI: 38 committers, 31 PMC members
Project Apache Tez: 38 committers, 35 PMC members
Project Apache Bigtop: 37 committers, 27 PMC members
Project Apache JAMES: 37 committers, 16 PMC members
Project Apache REEF: 35 committers, 22 PMC members
Project Apache Accumulo: 34 committers, 34 PMC members
Project Apache AsterixDB: 34 committers, 28 PMC members
Project Apache DeltaSpike: 34 committers, 19 PMC members
Project Apache Kylin: 34 committers, 21 PMC members
Project Apache OpenJPA: 34 committers, 19 PMC members
Project Apache Synapse: 34 committers, 27 PMC members
Project Apache Fineract: 33 committers, 16 PMC members
Project Apache Kafka: 33 committers, 14 PMC members
Project Apache Thrift: 33 committers, 17 PMC members
Project Apache SpamAssassin: 32 committers, 13 PMC members
Project Apache Sqoop: 32 committers, 18 PMC members
Project Apache Avro: 31 committers, 19 PMC members
Project Apache Flume: 31 committers, 24 PMC members
Project Apache Karaf: 31 committers, 17 PMC members
Project Apache Labs: 31 committers, 10 PMC members
Project Apache Parquet: 31 committers, 24 PMC members
Project Apache Pig: 31 committers, 17 PMC members
Project Apache Tika: 31 committers, 30 PMC members
Project Apache TomEE: 31 committers, 11 PMC members
Project Apache Wicket: 31 committers, 30 PMC members
Project Apache Mynewt: 30 committers, 18 PMC members
Project Apache Ant: 29 committers, 22 PMC members
Project Apache PredictionIO: 29 committers, 28 PMC members
Project Apache Mahout: 28 committers, 13 PMC members
Project Apache OpenMeetings: 28 committers, 26 PMC members
Project Apache Ranger: 28 committers, 19 PMC members
Project Apache Usergrid: 28 committers, 25 PMC members
Project Apache Forrest: 27 committers, 13 PMC members
Project Apache Gora: 27 committers, 27 PMC members
